"","x"
"228","https://www.cnn.com/2024/02/02/us/jennifer-crumbley-michigan-school-shooter-trial/index.html"
"229","https://www.cnn.com/2024/02/02/health/preterm-birth-study-wellness/index.html"
"230","https://www.cnn.com/2024/02/01/opinions/abortion-rights-france-constitution-filipovic/index.html"
"231","https://www.cnn.com/2024/01/31/entertainment/elisabeth-moss-pregnancy/index.html"
"232","https://www.cnn.com/2023/08/22/politics/abortion-iowa-voters-gop-debate/index.html"
"233","https://www.cnn.com/2024/01/30/europe/france-abortion-rights-vote-intl/index.html"
"234","https://www.cnn.com/2024/01/30/opinions/pharmacist-birth-control-ranney/index.html"
"235","https://www.cnn.com/2024/01/25/us/james-jennifer-crumbley-school-shooting-trial/index.html"
"236","https://www.cnn.com/2024/01/24/health/rape-pregnancy-abortion/index.html"
"237","https://www.cnn.com/2024/01/23/politics/biden-harris-abortion-rights/index.html"
"238","https://www.cnn.com/2024/01/23/politics/doj-mifepristone-maker-supreme-court-abortion-pill/index.html"
"239","https://www.cnn.com/2024/01/22/opinions/abortion-threat-comstock-act-must-be-repealed-cohen-donley-rebouche/index.html"
"240","https://www.cnn.com/2024/01/21/politics/biden-campaign-abortion-rights-donald-trump/index.html"
"241","https://www.cnn.com/2024/01/19/politics/march-for-life-2024-abortion/index.html"
"242","https://www.cnn.com/2024/01/18/health/ivf-access-bill/index.html"
"243","https://www.cnn.com/2024/01/18/politics/biden-harris-reproductive-rights-2024/index.html"
"244","https://www.cnn.com/2024/01/17/politics/kfile-mark-robinson-abortion-ban-no-exceptions/index.html"
"245","https://www.cnn.com/2024/01/11/us/brittany-watts-miscarriage-no-criminal-charges/index.html"
"246","https://www.cnn.com/2024/01/05/politics/abortion-supreme-court-idaho/index.html"
"247","https://www.cnn.com/2024/01/05/politics/abortion-rights-group-petition-florida-ballot/index.html"
"248","https://www.cnn.com/2024/01/04/us/colorado-mother-double-murder-custody-battle/index.html"
"249","https://www.cnn.com/2024/01/02/health/medication-abortion-stockpile/index.html"
"250","https://www.cnn.com/2024/01/02/politics/texas-hhs-abortion/index.html"
"251","https://www.cnn.com/2023/12/31/us/colorado-mother-double-murder-arrest/index.html"
"252","https://www.cnn.com/2023/12/24/health/woman-two-uteruses-birth-twins/index.html"
"253","https://www.cnn.com/2023/12/21/opinions/blake-butler-molly-brodak-suicide-memoir-grisafi/index.html"
"254","https://www.cnn.com/2023/12/19/us/brittany-watts-miscarriage-criminal-charge/index.html"
"255","https://www.cnn.com/2023/12/19/opinions/supreme-court-abortion-january-6-hemmer/index.html"
"256","https://www.cnn.com/2023/12/19/politics/harris-2024-abortion/index.html"
